Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.87,,2018-06-26 13:16:20,2018-06-26 13:16:43,23.034s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.87,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-06-26 13:16:21,2018-06-26 13:16:28,7.622s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-26 13:16:21,2018-06-26 13:16:21,0.050s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-26 13:16:21,2018-06-26 13:16:21,0.008s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-26 13:16:21,2018-06-26 13:16:26,4.598s,PASSED
click,Chrome 67.0.3396.87,,2018-06-26 13:16:26,2018-06-26 13:16:26,0.578s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 13:16:26,2018-06-26 13:16:27,0.444s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-26 13:16:27,2018-06-26 13:16:27,0.288s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-26 13:16:27,2018-06-26 13:16:27,0.002s,PASSED
click,Chrome 67.0.3396.87,,2018-06-26 13:16:27,2018-06-26 13:16:28,0.540s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-26 13:16:28,2018-06-26 13:16:28,0.002s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.87,,2018-06-26 13:16:28,2018-06-26 13:16:28,0.115s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-26 13:16:28,2018-06-26 13:16:28,0.435s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.87,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-06-26 13:16:28,2018-06-26 13:16:43,14.798s,FAILED
comment,Chrome 67.0.3396.87,,2018-06-26 13:16:29,2018-06-26 13:16:29,0.002s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-26 13:16:29,2018-06-26 13:16:29,0.002s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-26 13:16:29,2018-06-26 13:16:31,2.822s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-26 13:16:31,2018-06-26 13:16:43,11.683s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-26 13:16:43,2018-06-26 13:16:43,0.002s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-26 13:16:43,2018-06-26 13:16:43,0.087s,FAILED
